#RA, Dec, RefStar, Centroid, Mag
18:36:56.34, +38:47:01.28, 0, 1, 99.999
18:36:56.34, +38:47:01.30, 1, 1, 0.049
18:35:25.35, +38:23:33.50, 1, 1, 10.635
18:34:30.25, +38:24:15.90, 1, 1, 12.084
18:34:48.19, +38:18:38.90, 1, 1, 12.227
18:35:27.59, +38:26:03.10, 1, 1, 12.177
18:35:14.54, +38:18:56.60, 1, 1, 12.755
18:34:35.87, +38:23:57.20, 1, 1, 13.156
18:35:01.02, +38:20:28.90, 1, 1, 13.812
18:35:20.77, +38:22:05.50, 1, 1, 14.139
18:34:50.27, +38:19:40.80, 1, 1, 14.416
#
#Ap, Auid, RA, Dec, RefStar, Centroid, Mag
#T1, vega, 18:36:56.34, +38:47:01.28, 0, 1, 99.999
#C2, 000-BCC-827, 18:36:56.34, +38:47:01.30, 1, 1, 0.049
#C3, 000-BCC-763, 18:35:25.35, +38:23:33.50, 1, 1, 10.635
#C4, 000-BMW-496, 18:34:30.25, +38:24:15.90, 1, 1, 12.084
#C5, 000-BCC-738, 18:34:48.19, +38:18:38.90, 1, 1, 12.227
#C6, 000-BCC-765, 18:35:27.59, +38:26:03.10, 1, 1, 12.177
#C7, 000-BCC-760, 18:35:14.54, +38:18:56.60, 1, 1, 12.755
#C8, 000-BMW-491, 18:34:35.87, +38:23:57.20, 1, 1, 13.156
#C9, 000-BMW-490, 18:35:01.02, +38:20:28.90, 1, 1, 13.812
#C10, 000-BMW-492, 18:35:20.77, +38:22:05.50, 1, 1, 14.139
#C11, 000-BCC-740, 18:34:50.27, +38:19:40.80, 1, 1, 14.416
#Rc
